Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Linear Regression,16.55,19.41,10.25,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.68,17.3,7.98,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,16.32,18.06,10.4,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,81.12,100.25,21.39,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,67.75,77.93,17.45,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,22.25,29.55,5.64,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,92.14,111.74,24.17,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,51.13,54.74,12.43,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,27.32,32.94,6.53,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,42.88,51.47,11.14,S004,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,45.5,52.46,19.05,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,44.12,49.24,18.23,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.25,32.74,12.1,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,61.99,73.72,26.33,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,34.46,37.63,13.73,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,25.97,29.58,9.84,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,28.67,33.8,11.83,S004,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,26.12,30.3,15.84,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,26.56,31.23,17.29,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,23.38,27.59,13.82,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,30.03,36.73,20.36,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,25.22,28.18,14.83,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,23.94,28.23,13.44,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,21.35,23.26,13.03,S004,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,23.12,29.7,20.07,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,17.88,24.0,15.66,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.88,16.87,10.54,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,33.23,38.3,27.94,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,12.83,16.27,10.89,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,7.74,9.59,5.95,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,13.09,17.59,11.45,S004,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,64.62,74.23,17.07,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,66.69,78.95,17.83,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,22.0,26.63,5.33,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,97.18,116.45,26.12,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,49.31,54.27,12.56,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,21.08,24.39,4.96,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,44.78,52.9,11.9,S004,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,99.38,119.68,26.37,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,75.56,89.79,19.92,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.88,32.98,6.2,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,91.44,112.84,24.44,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,54.0,57.78,13.08,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,22.73,27.86,5.34,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,49.37,58.83,12.97,S004,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,102.25,121.96,19.85,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,95.75,108.42,18.07,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,51.25,57.06,8.5,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,116.69,143.06,22.99,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,81.58,86.45,14.35,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,36.92,46.41,5.96,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,65.0,74.69,12.14,S004,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,69.38,76.95,19.65,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,63.31,66.37,17.13,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,25.38,31.45,6.73,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,76.69,92.67,22.43,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,49.28,55.07,12.44,S004,P009,weekly,8,2026-06-05 05:22:55.630437
